district,apartment_type,property_type,floor_area,price,price_m2,build_year,floor,elevator,condition,plot,energy_class,date_scrape,municipaliy
,,,,,,,,,,,,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=0&search=1&sf=0&so=a
Olari,1h+kt+kph+vh+ra...,kt,"29,50",207975,7050,2021,3/6,on,hyvä,oma							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=0&search=1&sf=0&so=a
Pohjois-tapiola,"1h, kt, kph, is...",kt,"33,00",230000,6970,2016,5/5,on,hyvä,oma							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=0&search=1&sf=0&so=a
Olari,"1h, kk, kph + v...",kt,"28,50",142000,4982,1973,3/8,on,hyvä,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=0&search=1&sf=0&so=a
Olari,"1h, k, alkovi, ...",kt,"28,50",198000,6947,2020,6/6,on,hyvä,oma							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=0&search=1&sf=0&so=a
Olari,1h+kt+alkovi+vh...,kt,"35,50",244950,6900,2021,2/6,on,hyvä,oma							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=0&search=1&sf=0&so=a
Kivenlahti,1 h+kk,kt,"31,00",142300,4590,1973,2/3,ei,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=0&search=1&sf=0&so=a
,,,,,,,,,,,,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Puolarmetsä,3h+k+kph+s+khh+...,rt,"72,00",340000,4722,2009,1/1,ei,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Tapiola,"3h, avok, kph, p",kt,"72,00",423000,5875,1965,4/5,on,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Matinkylä,"3h, k, kph, las...",kt,"77,00",260000,3377,1975,5/15,on,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Leppävaara,"3h, k, s",kt,"68,50",273300,3990,1989,4/6,on,hyvä,oma							,,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Leppävaara,"3h, k, s, vh, l...",kt,"77,00",215000,2792,1987,1/4,on,tyyd.,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
"Espoonlahti, laurinlahti",3h+k+s+eril.wc+...,kt,"89,50",430500,4810,2001,3/3,on,hyvä,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Mankkaa,3h+k+kph+s+khh+...,rt,"79,50",333000,4189,1984,1/1,ei,hyvä,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
"Lähderanta, laaksolahti",3h+k+kh,kt,"70,00",164000,2343,1962,2/4,ei,tyyd.,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Saunalahti,"3h, k, s, lasit...",kt,"73,50",273000,3714,2005,2/4,on,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Laaksolahti,"3 h, k, s, eril...",rt,"84,50",238000,2817,1984,1/1,ei,tyyd.,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Kauklahti,3h+kt+s,rt,"77,00",308000,4000,2013,2/2,ei,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Pihlajarinne,"3h, k, s,pesuhu...",rt,"70,00",267000,3814,1990,1/1,ei,hyvä,oma							,,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
"Nuottaniemi, matinkylä",3h+k+s+eril.wc+var,rt,"76,00",293000,3855,1981,1/1,ei,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Kivenlahti,3h+k+erillinen ...,kt,"78,00",175000,2244,1980,2/4,ei,tyyd.,oma							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Mankkaa,3h + k + khh + ...,rt,"92,50",348000,3762,1989,1/1,ei,hyvä,oma							,,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Tuomarila,"3h, k, kph, s, ...",rt,"75,00",265000,3533,1983,1/1,ei,hyvä,oma							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Olari,"3h, k, vh, lasi...",kt,"63,50",318800,5020,2020,1/5,on,hyvä,oma							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Lippajärvi,"3h, k, s",rt,"87,50",247000,2823,2000,1/1,ei,hyvä,vuokra							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
"Laaksolahti, lähderanta",3-4h+avok+2kph+...,rt,"98,00",450002,4592,2013,2/2,ei,hyvä,vuokra							,A,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Sepänkylä,3h+kk+s (yht.j&...,kt,"66,50",255000,3835,2006,3/4,on,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Mäkkylä,"3h, k, kph, s, ...",kt,"72,50",271000,3738,1985,1/3,ei,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Olari,"3h, k, khh/ph/s...",rt,"77,00",326000,4234,2004,1/2,ei,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Saunalahti,3h+k+s+2xwc+2xv...,rt,"77,00",410000,5325,2012,1/2,ei,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Lintuvaara,3h+kph+sauna+pa...,rt,"82,00",326000,3976,1994,-1/2,ei,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Kirstinmäki,"Oh, 2 mh, k, kp...",kt,"77,50",140000,1806,1978,6/7,on,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Espoon keskus,3h+kt+lasitettu...,kt,"64,50",267000,4140,2020,3/5,on,hyvä, 							,B,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Karakallio,"3h, k, rt, kph,...",kt,"81,50",129000,1583,1970,2/4,ei,tyyd.,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Olari,"3h, k",kt,"63,00",292824,4648,2020,5/6,on,hyvä,oma							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Pisa,3h+k+s,kt,"73,00",249500,3418,2003,1/2,ei, ,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Olari,"3h,k,kph,wc (yh...",kt,"79,00",230000,2911,1976,4/4,ei,tyyd.,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Perusmäki,3h+k+kh+s,rt,"57,00",268000,4702,2018,1/1,ei,hyvä,vuokra							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Viherlaakso,"3h,kk,p,piha",rt,"69,80",245500,3517,1964,2/2,ei,hyvä,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Matinkylä,"3h,k",kt,"70,00",195000,2786,1975,1/3,ei,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Puolarmetsä,3 h+ avokeitti&...,rt,"85,00",402000,4729,2014,1/1,ei,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Leppävaara,"3h, k, s, lasit...",kt,"65,00",302000,4646,2018,2/5,on,hyvä, 							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Leppävaara,"3h,k,s, terassi...",kt,"71,00",315000,4437,1990,5/5,on,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Tapiola,"3h, avok, kph, p",kt,"72,00",429000,5958,1965,5/5,on,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Leppävaara,"3-4h, k, psh, s...",kt,"80,50",250000,3106,1987,1/6,on,tyyd.,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Tuomarila,3h+k+s,kt,"58,00",206000,3552,1993,2/2,ei,tyyd.,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Saunalahti,3-4h+kt+s,rt,"75,00",295000,3933,2020,1/1,ei,hyvä,vuokra							,B,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Laaksolahti,3h+k+kph+s+2 x ...,rt,"76,50",275000,3595,1982,1/1,ei,hyvä,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Mäkkylä,"3 h, avok, s, e...",kt,"82,00",428000,5220,2009,5/8,on,hyvä, 							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Kilo,3h+kt+kph+s+wc+...,rt,"100,00",349000,3490,1982,1/2,ei,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Viherlaakso,"3h,k",kt,"79,00",148000,1873,1969,2/3,ei,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Perusmäki,3h+k+kh+s,rt,"57,00",226000,3965,2018,1/1,ei,hyvä,vuokra							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Tuomarila,3h+kk+s,kt,"64,50",244000,3783,2008,4/5,on,hyvä,oma							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Haukilahti,"3h, k, kph, p",kt,"57,00",326000,5719,1968,3/3,ei,hyvä,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Olari,"3h, avok, s, la...",kt,"67,00",368000,5493,2012,6/6,on,hyvä,oma							,B,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Soukka,"3h, k, kph, eri...",kt,"82,00",160000,1951,1971,1/5,on,tyyd.,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Olari,"3h, k",kt,"56,00",290000,5179,2020,4/5,on,hyvä,oma							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
"Tapiola, pohjois-tapiola",3h+k+kph+wc+par...,kt,"64,00",275000,4297,1964,2/3,ei,hyvä,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
Kuninkainen,"3h, k, kph, s, ...",kt,"68,00",272000,4000,2004,2/2,ei,hyvä,oma							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=16&search=1&sf=0&so=a
,,,,,,,,,,,,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=1&search=1&sf=0&so=a
Leppävaara,"1h, kk, kph, pa...",kt,"25,00",146000,5840,1963,2/4,ei,tyyd.,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=1&search=1&sf=0&so=a
Haukilahti,1h+kk+kph+p,kt,"25,00",170000,6800,1965,4/4,on,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=1&search=1&sf=0&so=a
Tapiola,"1h, kk, kph, ra...",kt,"28,00",210000,7500,1964,5/5,on,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=1&search=1&sf=0&so=a
Soukka,"1h, k, kph, las...",kt,"31,00",145000,4677,1974,8/9,on,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=1&search=1&sf=0&so=a
Tapiola,"1h, k, kph, vh ...",kt,"41,00",216356,5277,1958,2/4,ei,tyyd.,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=1&search=1&sf=0&so=a
Kauklahti,1h+avokeitti...,kt,"27,00",146500,5426,2019,1/4,on,hyvä,vuokra							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=1&search=1&sf=0&so=a
Olari,"1h, kk, kph, vh...",kt,"34,50",131000,3797,1972,8/9,on,tyyd.,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=1&search=1&sf=0&so=a
