balcony,build_year,building_material,condition,floor_area,floor_info,floors,heating_type,house_info,lift,location,lot_owned,lot_size,maintenance,price,property_type,sauna,municipality,kitchen_type,balcony_type,floors_info,floor_num,park_space_type,address,postcode,Unit maintenance cost
,2004.0,concrete,good,174.0,1/1,1,,nan,False,"purotanhua 15,, ,02270 espoo",True,,,698000.0,detached house,Asunnossa on sauna,ESPOO,kitchen,,2.0,1,,purotanhua 15,02270,
Asunnossa on parveke,1975.0,concrete,good,150.0,2/2,2,Sähkölämmitys,5h + k + kph,False,"rantakuja 6,, ,02170 espoo",True,5000.0,"450,00 € / kk",735000.0,row house,Asunnossa on sauna,ESPOO,kitchen,glassed-in balcony,,2,,rantakuja 6,02170,450.0
,2016.0,concrete,good,136.0,1/1,1,Maalämpö,4h + k + khh + kph + s,False,"mutkamäki 5,, ,02330 espoo",True,,,649000.0,detached house,Asunnossa on sauna,ESPOO,kitchen,,1.0,1,,mutkamäki 5,02330,
Asunnossa on parveke,1978.0,concrete,good,51.0,2/6,6,Kaukolämpö,2h + avok + kph + vh + lasitettu p. (yj. 2h + k),True,"itätuulenkuja 1,, ,02100 espoo",True,2964.0,"226,95 € / kk",275000.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchen,glassed-in balcony,,2,,itätuulenkuja 1,02100,226.0
,1957.0,concrete,good,175.0,1/1,1,"Kaukolämpö, vesikiertoinen lattialämmitys, ilmalämpöpumppu, sähkölämmitteiset lasit (talvipuutarha)",6h + k + wc + 2xkph / wc + sauna + vh + khh + autotalli + va,False,"luonnottarenpolku 4,, ,02100",True,812.0,"645,00 € / kk",790000.0,detached house,Asunnossa on sauna,ESPOO,kitchen,,1.0,1,Garage,luonnottarenpolku 4,02100,645.0
,1987.0,concrete,mediocre,59.0,1/4,4,Kaukolämpö,2h + k.kph + terassipiha,False,"ankkuritie 5,, ,02320 espoo",True,4833.0,"298,57 € / kk",188000.0,apartment,Taloyhtiössä on sauna,ESPOO,open plan kitchen,,,1,,ankkuritie 5,02320,298.0
Asunnossa on parveke,1972.0,concrete,good,76.5,1/3,3,"Kaukolämpö,Ilmanvaihto: Koneellinen poisto",3h + k + kph + lasitettu parveke,False,"honkavaarankuja 1,, ,02710 espoo",True,17790.0,"330,99 € / kk",158000.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchen,glassed-in balcony,,1,,honkavaarankuja 1,02710,330.0
Asunnossa on parveke,2005.0,concrete,mediocre,219.0,1/2,2,Kaukolämpö,5h + k + rt + s + kph + khh + uima-allasosasto + autokatos + ,False,"vanha saunalahdentie 8 e,, ,02330",True,7593.0,"80,00 € / kk",1390000.0,detached house,,ESPOO,kitchen,glassed-in balcony,2.0,1,Garage,vanha saunalahdentie 8 e,02330,80.0
Asunnossa on parveke,2008.0,concrete,good,72.5,1/5,5,Kaukolämpö,3h + kk + s,True,"kulovalkeantie 3,, ,02760 espoo",True,,"286,38 € / kk",269700.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,1,,kulovalkeantie 3,02760,286.0
Asunnossa on parveke,1984.0,concrete,good,121.0,1/2,2,Kaukolämpö,5h + k + s + 2xvh + p + terassi + piha,False,"vilkkupoiju 15,, ,02320 espoo",True,42484.0,"484,00 € / kk",449000.0,row house,Asunnossa on sauna,ESPOO,kitchen,glassed-in balcony,2.0,1,,vilkkupoiju 15,02320,484.0
